rank,id,year,db,title,url,triage_score,triage_terms,screening_status
1,doi:10.1115/gt2020-15403,2020,crossref,Blade Tip Clearance Measurement Systems for High Speed Turbomachinery Applications and the Potential for Blade Tip Timing Applications,https://doi.org/10.1115/gt2020-15403,10,tip clearance;optical;capacitive;clearance measurement;rotor,UNSCREENED - keyword triage only
2,doi:10.1115/78-gt-164,1978,crossref,Turbine Blade Tip Clearance Measurement Utilizing Borescope Photography,https://doi.org/10.1115/78-gt-164,9,tip clearance;shroud;clearance measurement;rotor,UNSCREENED - keyword triage only
3,doi:10.1115/1.3230742,1981,crossref,Laser-Optical Blade Tip Clearance Measurement System,https://doi.org/10.1115/1.3230742,9,tip clearance;ducted;optical;clearance measurement;rotor,UNSCREENED - keyword triage only
4,doi:10.1115/91-gt-164,1991,crossref,Turbine Blade Tip Clearance Improvement,https://doi.org/10.1115/91-gt-164,9,tip clearance;shroud;clearance measurement;rotor,UNSCREENED - keyword triage only
5,doi:10.1115/2000-gt-0416,2000,crossref,Non-Uniform Flow in a Compressor due to Asymmetric Tip Clearance,https://doi.org/10.1115/2000-gt-0416,9,tip clearance;non-uniform;non-axisymmetric;rotor,UNSCREENED - keyword triage only
6,doi:10.1063/1.4964858,2016,crossref,On the development of a magnetoresistive sensor for blade tip timing and blade tip clearance measurement systems,https://doi.org/10.1063/1.4964858,9,tip clearance;optical;capacitive;clearance measurement,UNSCREENED - keyword triage only
7,doi:10.1115/gt2022-82750,2022,crossref,Analytical Methods for Transonic Compressor Rotor Blade Tip Clearance Measurements Using Capacitive Probes,https://doi.org/10.1115/gt2022-82750,9,tip clearance;capacitive;clearance measurement;rotor,UNSCREENED - keyword triage only
8,doi:10.2139/ssrn.4820937,2024,crossref,Improving the Blade Tip Clearance Measurement Method Based on Blade Tip Timing: Accounting for Rotor Speed Variations and Non-Uniform Blade-by-Blade Tip Clearan,https://doi.org/10.2139/ssrn.4820937,9,tip clearance;non-uniform;clearance measurement;rotor,UNSCREENED - keyword triage only
9,doi:10.1016/j.heliyon.2024.e25296,2024,crossref,Numerical investigation on the influence of nonuniform tip clearance on rotor tip-clearance flow field structure,https://doi.org/10.1016/j.heliyon.2024.e25296,9,tip clearance;tip-clearance;nonuniform;rotor,UNSCREENED - keyword triage only
10,doi:10.1016/j.measurement.2024.115777,2025,crossref,Improving the blade tip clearance measurement method based on blade tip timing: Accounting for rotor speed variations and non-uniform blade-by-blade tip clearan,https://doi.org/10.1016/j.measurement.2024.115777,9,tip clearance;non-uniform;clearance measurement;rotor,UNSCREENED - keyword triage only
