db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.1115/gt2020-15403,2020,Blade Tip Clearance Measurement Systems for High Speed Turbomachinery Applications and the Potential for Blade Tip Timing Applications,"Volume 8: Industrial and Cogeneration; Manufacturing Materials and Metallurgy; Marine; Microturbines, Turbochargers, and Small Turbomachines",proceedings-article,https://doi.org/10.1115/gt2020-15403,tip clearance optical capacitive measurement fan blade,False,10,tip clearance;optical;capacitive;clearance measurement;rotor
crossref,doi:10.1115/gt2022-82750,2022,Analytical Methods for Transonic Compressor Rotor Blade Tip Clearance Measurements Using Capacitive Probes,"Volume 2: Coal, Biomass, Hydrogen, and Alternative Fuels; Controls, Diagnostics, and Instrumentation; Steam Turbine",proceedings-article,https://doi.org/10.1115/gt2022-82750,tip clearance optical capacitive measurement fan blade,False,9,tip clearance;capacitive;clearance measurement;rotor
crossref,doi:10.2139/ssrn.4820937,2024,Improving the Blade Tip Clearance Measurement Method Based on Blade Tip Timing: Accounting for Rotor Speed Variations and Non-Uniform Blade-by-Blade Tip Clearance,,posted-content,https://doi.org/10.2139/ssrn.4820937,ducted fan non-uniform tip clearance experimental,False,9,tip clearance;non-uniform;clearance measurement;rotor
crossref,doi:10.1016/j.measurement.2024.115777,2025,Improving the blade tip clearance measurement method based on blade tip timing: Accounting for rotor speed variations and non-uniform blade-by-blade tip clearance,Measurement,journal-article,https://doi.org/10.1016/j.measurement.2024.115777,ducted fan non-uniform tip clearance experimental,False,9,tip clearance;non-uniform;clearance measurement;rotor
crossref,doi:10.1115/1.3230742,1981,Laser-Optical Blade Tip Clearance Measurement System,Journal of Engineering for Power,journal-article,https://doi.org/10.1115/1.3230742,tip clearance optical capacitive measurement fan blade,False,9,tip clearance;ducted;optical;clearance measurement;rotor
crossref,doi:10.1115/2000-gt-0416,2000,Non-Uniform Flow in a Compressor due to Asymmetric Tip Clearance,"Volume 4: Manufacturing Materials and Metallurgy; Ceramics; Structures and Dynamics; Controls, Diagnostics and Instrumentation; Education",proceedings-article,https://doi.org/10.1115/2000-gt-0416,ducted fan non-uniform tip clearance experimental,False,9,tip clearance;non-uniform;non-axisymmetric;rotor
crossref,doi:10.1016/j.heliyon.2024.e25296,2024,Numerical investigation on the influence of nonuniform tip clearance on rotor tip-clearance flow field structure,Heliyon,journal-article,https://doi.org/10.1016/j.heliyon.2024.e25296,non-axisymmetric tip clearance rotor performance,False,9,tip clearance;tip-clearance;nonuniform;rotor
crossref,doi:10.1063/1.4964858,2016,On the development of a magnetoresistive sensor for blade tip timing and blade tip clearance measurement systems,Review of Scientific Instruments,journal-article,https://doi.org/10.1063/1.4964858,tip clearance optical capacitive measurement fan blade,False,9,tip clearance;optical;capacitive;clearance measurement
crossref,doi:10.1115/91-gt-164,1991,Turbine Blade Tip Clearance Improvement,Volume 1: Turbomachinery,proceedings-article,https://doi.org/10.1115/91-gt-164,tip clearance optical capacitive measurement fan blade,False,9,tip clearance;shroud;clearance measurement;rotor
crossref,doi:10.1115/78-gt-164,1978,Turbine Blade Tip Clearance Measurement Utilizing Borescope Photography,Volume 1B: General,proceedings-article,https://doi.org/10.1115/78-gt-164,tip clearance optical capacitive measurement fan blade,False,9,tip clearance;shroud;clearance measurement;rotor
